wk,tr,nc,stg
0,55859,0,1
1,55859,1,1
2,55859,0,1
3,55859,0,1
4,55859,0,1
5,55859,0,1
6,55859,0,1
7,55859,0,1
8,55859,0,1
9,55859,1,1
10,55859,0,1
11,55859,0,1
12,55859,0,1
13,55859,0,1
14,55859,0,1
15,55859,0,1
16,55859,7,1
17,55859,12,2
18,55859,11,2
19,55859,8,2
20,55859,19,2
21,55859,35,2
22,55859,18,3
23,55859,1,3
24,55859,5,2
25,55859,2,2
26,55859,2,1b
27,55859,0,1b
28,55859,0,1
29,55859,0,1
30,55859,0,1
31,55859,0,1
32,55859,1,1
33,55859,0,1
34,55859,0,1
35,55859,0,1
36,55859,4,1
37,55859,4,1
38,55859,0,1
39,55859,1,1
40,55859,1,1
41,55859,1,1
42,55859,1,1
43,55859,1,1
44,55859,0,1
45,55859,1,1
46,55859,0,1
47,55859,0,1
48,55859,0,1
49,55859,0,1
50,55859,0,1
51,55859,0,1
52,55859,1,1
53,55859,12,1
54,55859,18,1
55,55859,16,1
56,55859,42,1
57,55859,21,1
58,55859,18,1
59,55859,17,1
60,55859,18,1
61,55859,22,1
62,55859,50,1
63,55859,94,1
64,55859,56,1
65,55859,58,1
66,55859,30,1
67,55859,20,1
68,55859,17,1
69,55859,17,1
70,55859,25,1
71,55859,41,1
72,55859,60,1
73,55859,32,1
74,55859,25,1
75,55859,29,1
76,55859,42,1
77,55859,48,1
78,55859,34,1
79,55859,19,1
80,55859,26,1
81,55859,28,1
82,55859,34,1
83,55859,45,1
84,55859,36,1
85,55859,25,1
86,55859,20,1
87,55859,14,1
88,55859,9,1
89,55859,13,1
90,55859,19,1
91,55859,13,1
92,55859,16,1
93,55859,11,1
94,55859,10,1
95,55859,16,1
96,55859,20,1
97,55859,33,1
98,55859,37,1
99,55859,16,1
100,55859,16,1
101,55859,12,1
102,55859,12,1
103,55859,35,1
104,55859,40,1
0,232320,0,1
1,232320,0,1
2,232320,0,1
3,232320,0,1
4,232320,0,1
5,232320,0,1
6,232320,0,1
7,232320,0,1
