"wk","tr","nc","stg","id"
0,"1301585801",0.0,"1",13015858011
1,"1301585801",0.0,"1",13015858011
2,"1301585801",0.0,"1",13015858011
3,"1301585801",0.0,"1",13015858011
4,"1301585801",0.0,"1",13015858011
5,"1301585801",0.0,"1",13015858011
6,"1301585801",0.0,"1",13015858011
7,"1301585801",0.0,"1",13015858011
8,"1301585801",0.0,"1",13015858011
9,"1301585801",0.0,"1",13015858011
10,"1301585801",0.86,"1",13015858011
10,"1301585801",0.86,"1b",13015858012
11,"1301585801",3.0,"1b",13015858012
11,"1301585801",3.0,"2",13015858013
12,"1301585801",2.86,"2",13015858013
13,"1301585801",2.71,"2",13015858013
14,"1301585801",2.29,"2",13015858013
15,"1301585801",2.43,"2",13015858013
16,"1301585801",1.57,"2",13015858013
17,"1301585801",2.0,"2",13015858013
18,"1301585801",1.43,"2",13015858013
18,"1301585801",1.43,"1b",13015858014
19,"1301585801",0.29,"1b",13015858014
20,"1301585801",0.43,"1b",13015858014
21,"1301585801",0.29,"1b",13015858014
22,"1301585801",0.0,"1b",13015858014
22,"1301585801",0.0,"1",13015858015
23,"1301585801",2.57,"1",13015858015
23,"1301585801",2.57,"1b",13015858016
24,"1301585801",6.0,"1b",13015858016
24,"1301585801",6.0,"3",13015858017
25,"1301585801",3.29,"3",13015858017
26,"1301585801",2.14,"3",13015858017
26,"1301585801",2.14,"2",13015858018
27,"1301585801",1.86,"2",13015858018
28,"1301585801",1.14,"2",13015858018
29,"1301585801",1.0,"2",13015858018
30,"1301585801",2.57,"2",13015858018
30,"1301585801",2.57,"1b",13015858019
31,"1301585801",16.29,"1b",13015858019
32,"1301585801",41.14,"1b",13015858019
33,"1301585801",95.14,"1b",13015858019
33,"1301585801",95.14,"2",130158580110
34,"1301585801",111.86,"2",130158580110
34,"1301585801",111.86,"3",130158580111
35,"1301585801",111.86,"3",130158580111
35,"1301585801",111.86,"4",130158580112
36,"1301585801",77.14,"4",130158580112
37,"1301585801",69.43,"4",130158580112
38,"1301585801",46.29,"4",130158580112
38,"1301585801",46.29,"3",130158580113
39,"1301585801",61.71,"3",130158580113
39,"1301585801",61.71,"4",130158580114
40,"1301585801",46.29,"4",130158580114
41,"1301585801",25.71,"4",130158580114
42,"1301585801",28.29,"4",130158580114
43,"1301585801",21.86,"4",130158580114
44,"1301585801",23.14,"4",130158580114
45,"1301585801",25.71,"4",130158580114
46,"1301585801",20.57,"4",130158580114
46,"1301585801",20.57,"3",130158580115
47,"1301585801",36.0,"3",130158580115
48,"1301585801",23.14,"3",130158580115
48,"1301585801",23.14,"2",130158580116
49,"1301585801",29.57,"2",130158580116
50,"1301585801",50.14,"2",130158580116
50,"1301585801",50.14,"3",130158580117
51,"1301585801",55.29,"3",130158580117
51,"1301585801",55.29,"4",130158580118
52,"1301585801",42.43,"4",130158580118
53,"1301585801",19.29,"4",130158580118
53,"1301585801",19.29,"3",130158580119
54,"1301585801",16.71,"3",130158580119
55,"1301585801",18.0,"3",130158580119
56,"1301585801",21.86,"3",130158580119
56,"1301585801",21.86,"2",130158580120
57,"1301585801",29.57,"2",130158580120
58,"1301585801",39.86,"2",130158580120
58,"1301585801",39.86,"3",130158580121
59,"1301585801",37.29,"3",130158580121
59,"1301585801",37.29,"4",130158580122
60,"1301585801",21.86,"4",130158580122
61,"1301585801",3.86,"4",130158580122
61,"1301585801",3.86,"3",130158580123
62,"1301585801",29.57,"3",130158580123
63,"1301585801",28.29,"3",130158580123
63,"1301585801",28.29,"4",130158580124
64,"1301585801",15.43,"4",130158580124
65,"1301585801",14.14,"4",130158580124
65,"1301585801",14.14,"3",130158580125
66,"1301585801",6.43,"3",130158580125
67,"1301585801",12.86,"3",130158580125
67,"1301585801",12.86,"2",130158580126
68,"1301585801",20.57,"2",130158580126
69,"1301585801",27.86,"2",130158580126
70,"1301585801",34.71,"2",130158580126
71,"1301585801",29.57,"2",130158580126
71,"1301585801",29.57,"3",130158580127
72,"1301585801",24.43,"3",130158580127
73,"1301585801",27.0,"3",130158580127
74,"1301585801",21.86,"3",130158580127
75,"1301585801",34.71,"3",130158580127
76,"1301585801",51.43,"3",130158580127
76,"1301585801",51.43,"4",130158580128
77,"1301585801",32.14,"4",130158580128
78,"1301585801",25.71,"4",130158580128
79,"1301585801",19.29,"4",130158580128
79,"1301585801",19.29,"3",130158580129
80,"1301585801",16.71,"3",130158580129
81,"1301585801",16.71,"1",13015940630
81,"1301585801",16.71,"3",130158580129
0,"130159406",0.0,"1",13015940630
1,"130159406",0.0,"1",13015940630
2,"130159406",0.14,"1",13015940630
3,"130159406",1.71,"1",13015940630
3,"130159406",1.71,"2",13015940631
4,"130159406",1.57,"2",13015940631
5,"130159406",4.43,"2",13015940631
5,"130159406",4.43,"3",13015940632
6,"130159406",4.86,"3",13015940632
7,"130159406",4.29,"3",13015940632
7,"130159406",4.29,"2",13015940633
8,"130159406",7.14,"2",13015940633
8,"130159406",7.14,"3",13015940634
9,"130159406",9.86,"3",13015940634
10,"130159406",29.57,"3",13015940634
11,"130159406",53.14,"3",13015940634
11,"130159406",53.14,"4",13015940635
12,"130159406",72.0,"4",13015940635
13,"130159406",32.14,"4",13015940635
14,"130159406",69.43,"4",13015940635
15,"130159406",57.86,"4",13015940635
16,"130159406",74.57,"4",13015940635
17,"130159406",61.71,"4",13015940635
18,"130159406",38.57,"4",13015940635
19,"130159406",29.57,"4",13015940635
20,"130159406",34.71,"4",13015940635
21,"130159406",20.57,"4",13015940635
21,"130159406",20.57,"3",13015940636
22,"130159406",9.0,"3",13015940636
23,"130159406",14.14,"3",13015940636
24,"130159406",10.71,"3",13015940636
25,"130159406",11.14,"3",13015940636
26,"130159406",6.86,"3",13015940636
27,"130159406",7.29,"3",13015940636
28,"130159406",3.43,"3",13015940636
28,"130159406",3.43,"2",13015940637
29,"130159406",2.71,"2",13015940637
30,"130159406",3.0,"2",13015940637
30,"130159406",3.0,"1b",13015940638
31,"130159406",17.86,"1b",13015940638
32,"130159406",30.0,"1b",13015940638
32,"130159406",30.0,"1",13015940639
33,"130159406",115.71,"1",13015940639
33,"130159406",115.71,"2",13015940640
34,"130159406",200.57,"2",13015940640
34,"130159406",200.57,"4",13015940641
35,"130159406",138.86,"4",13015940641
36,"130159406",88.71,"4",13015940641
37,"130159406",57.86,"4",13015940641
38,"130159406",46.29,"4",13015940641
39,"130159406",46.29,"4",13015940641
40,"130159406",34.71,"4",13015940641
41,"130159406",19.29,"4",13015940641
41,"130159406",19.29,"3",13015940642
42,"130159406",12.86,"3",13015940642
42,"130159406",12.86,"4",13015940643
43,"130159406",6.43,"4",13015940643
44,"130159406",20.57,"4",13015940643
44,"130159406",20.57,"3",13015940644
45,"130159406",20.57,"3",13015940644
46,"130159406",42.43,"3",13015940644
46,"130159406",42.43,"4",13015940645
47,"130159406",48.86,"4",13015940645
48,"130159406",43.71,"4",13015940645
49,"130159406",36.0,"4",13015940645
50,"130159406",30.86,"4",13015940645
51,"130159406",24.43,"4",13015940645
52,"130159406",19.29,"4",13015940645
52,"130159406",19.29,"3",13015940646
53,"130159406",32.14,"3",13015940646
54,"130159406",29.57,"3",13015940646
54,"130159406",29.57,"4",13015940647
55,"130159406",20.57,"4",13015940647
56,"130159406",16.71,"4",13015940647
56,"130159406",16.71,"3",13015940648
57,"130159406",20.57,"3",13015940648
58,"130159406",15.43,"3",13015940648
59,"130159406",10.29,"3",13015940648
59,"130159406",10.29,"2",13015940649
60,"130159406",16.71,"2",13015940649
61,"130159406",42.43,"2",13015940649
61,"130159406",42.43,"1b",13015940650
62,"130159406",77.14,"1b",13015940650
62,"130159406",77.14,"3",13015940651
63,"130159406",119.57,"3",13015940651
63,"130159406",119.57,"4",13015940652
64,"130159406",73.29,"4",13015940652
65,"130159406",19.29,"4",13015940652
66,"130159406",19.29,"4",13015940652
67,"130159406",24.43,"4",13015940652
68,"130159406",11.57,"4",13015940652
68,"130159406",11.57,"3",13015940653
69,"130159406",15.43,"3",13015940653
70,"130159406",6.43,"3",13015940653
70,"130159406",6.43,"2",13015940654
71,"130159406",14.14,"2",13015940654
72,"130159406",21.86,"2",13015940654
73,"130159406",29.57,"2",13015940654
73,"130159406",29.57,"1b",13015940655
74,"130159406",52.71,"1b",13015940655
74,"130159406",52.71,"2",13015940656
75,"130159406",64.29,"2",13015940656
75,"130159406",64.29,"3",13015940657
76,"130159406",97.71,"3",13015940657
76,"130159406",97.71,"4",13015940658
77,"130159406",38.57,"4",13015940658
78,"130159406",38.57,"4",13015940658
79,"130159406",20.57,"4",13015940658
79,"130159406",20.57,"3",13015940659
80,"130159406",36.0,"3",13015940659
80,"130159406",36.0,"4",13015940660
81,"130159406",11.57,"4",13015940660
81,"130159406",11.57,"1",130171643161
0,"1301716431",0.0,"1",130171643161
1,"1301716431",0.0,"1",130171643161
2,"1301716431",0.0,"1",130171643161
3,"1301716431",0.0,"1",130171643161
4,"1301716431",0.14,"1",130171643161
5,"1301716431",3.0,"1",130171643161
5,"1301716431",3.0,"2",130171643162
6,"1301716431",2.57,"2",130171643162
7,"1301716431",2.14,"2",130171643162
8,"1301716431",1.71,"2",130171643162
8,"1301716431",1.71,"1b",130171643163
9,"1301716431",6.86,"1b",130171643163
9,"1301716431",6.86,"2",130171643164
10,"1301716431",10.43,"2",130171643164
10,"1301716431",10.43,"3",130171643165
11,"1301716431",21.86,"3",130171643165
12,"1301716431",13.29,"3",130171643165
13,"1301716431",12.86,"3",130171643165
14,"1301716431",12.0,"3",130171643165
15,"1301716431",16.29,"3",130171643165
16,"1301716431",18.43,"3",130171643165
17,"1301716431",13.71,"3",130171643165
18,"1301716431",9.86,"3",130171643165
19,"1301716431",7.71,"3",130171643165
20,"1301716431",5.57,"3",130171643165
20,"1301716431",5.57,"2",130171643166
21,"1301716431",4.0,"2",130171643166
22,"1301716431",3.43,"2",130171643166
23,"1301716431",2.0,"2",130171643166
24,"1301716431",1.29,"2",130171643166
25,"1301716431",0.43,"2",130171643166
25,"1301716431",0.43,"1b",130171643167
26,"1301716431",0.29,"1b",130171643167
27,"1301716431",0.14,"1b",130171643167
28,"1301716431",0.0,"1b",130171643167
28,"1301716431",0.0,"1",130171643168
29,"1301716431",0.29,"1",130171643168
30,"1301716431",3.43,"1",130171643168
31,"1301716431",11.57,"1",130171643168
32,"1301716431",13.71,"1",130171643168
33,"1301716431",20.14,"1",130171643168
34,"1301716431",30.43,"1",130171643168
35,"1301716431",34.71,"1",130171643168
36,"1301716431",27.0,"1",130171643168
37,"1301716431",52.71,"1",130171643168
37,"1301716431",52.71,"1b",130171643169
38,"1301716431",56.57,"1b",130171643169
38,"1301716431",56.57,"2",130171643170
39,"1301716431",63.0,"2",130171643170
39,"1301716431",63.0,"3",130171643171
40,"1301716431",50.14,"3",130171643171
40,"1301716431",50.14,"4",130171643172
41,"1301716431",37.29,"4",130171643172
42,"1301716431",12.86,"4",130171643172
42,"1301716431",12.86,"3",130171643173
43,"1301716431",8.14,"3",130171643173
44,"1301716431",8.57,"3",130171643173
44,"1301716431",8.57,"2",130171643174
45,"1301716431",9.43,"2",130171643174
46,"1301716431",14.14,"2",130171643174
46,"1301716431",14.14,"1b",130171643175
47,"1301716431",12.43,"1b",130171643175
48,"1301716431",21.0,"1b",130171643175
48,"1301716431",21.0,"1",130171643176
49,"1301716431",56.57,"1",130171643176
50,"1301716431",57.86,"1",130171643176
50,"1301716431",57.86,"1b",130171643177
51,"1301716431",60.43,"1b",130171643177
51,"1301716431",60.43,"2",130171643178
52,"1301716431",46.29,"2",130171643178
52,"1301716431",46.29,"3",130171643179
53,"1301716431",27.0,"3",130171643179
53,"1301716431",27.0,"4",130171643180
54,"1301716431",20.57,"4",130171643180
55,"1301716431",10.29,"4",130171643180
55,"1301716431",10.29,"3",130171643181
56,"1301716431",14.57,"3",130171643181
57,"1301716431",18.0,"3",130171643181
57,"1301716431",18.0,"2",130171643182
58,"1301716431",11.57,"2",130171643182
59,"1301716431",25.71,"2",130171643182
59,"1301716431",25.71,"1b",130171643183
60,"1301716431",63.0,"1b",130171643183
60,"1301716431",63.0,"2",130171643184
61,"1301716431",29.57,"2",130171643184
61,"1301716431",29.57,"3",130171643185
62,"1301716431",18.0,"3",130171643185
63,"1301716431",14.14,"3",130171643185
63,"1301716431",14.14,"2",130171643186
64,"1301716431",15.0,"2",130171643186
65,"1301716431",16.29,"2",130171643186
65,"1301716431",16.29,"1b",130171643187
66,"1301716431",25.71,"1b",130171643187
67,"1301716431",41.14,"1b",130171643187
67,"1301716431",41.14,"1",130171643188
68,"1301716431",97.71,"1",130171643188
68,"1301716431",97.71,"1b",130171643189
69,"1301716431",100.29,"1b",130171643189
69,"1301716431",100.29,"2",130171643190
70,"1301716431",84.86,"2",130171643190
70,"1301716431",84.86,"3",130171643191
71,"1301716431",50.14,"3",130171643191
71,"1301716431",50.14,"4",130171643192
72,"1301716431",14.14,"4",130171643192
73,"1301716431",11.57,"4",130171643192
74,"1301716431",9.86,"4",130171643192
74,"1301716431",9.86,"3",130171643193
75,"1301716431",15.43,"3",130171643193
76,"1301716431",11.14,"3",130171643193
76,"1301716431",11.14,"2",130171643194
77,"1301716431",13.29,"2",130171643194
78,"1301716431",14.57,"2",130171643194
78,"1301716431",14.57,"1b",130171643195
79,"1301716431",15.86,"1b",130171643195
80,"1301716431",16.71,"1b",130171643195
80,"1301716431",16.71,"1",130171643196
81,"1301716431",22.71,"1",130171643196
81,"1301716431",22.71,"1",130192703996
0,"1301927039",0.0,"1",130192703996
1,"1301927039",0.43,"1",130192703996
1,"1301927039",0.43,"1b",130192703997
2,"1301927039",7.43,"1b",130192703997
2,"1301927039",7.43,"3",130192703998
3,"1301927039",9.29,"3",130192703998
4,"1301927039",23.14,"3",130192703998
5,"1301927039",33.0,"3",130192703998
5,"1301927039",33.0,"4",130192703999
6,"1301927039",68.14,"4",130192703999
7,"1301927039",30.86,"4",130192703999
8,"1301927039",21.86,"4",130192703999
8,"1301927039",21.86,"3",1301927039100
9,"1301927039",32.14,"3",1301927039100
10,"1301927039",27.0,"3",1301927039100
10,"1301927039",27.0,"4",1301927039101
11,"1301927039",20.57,"4",1301927039101
12,"1301927039",27.0,"4",1301927039101
12,"1301927039",27.0,"3",1301927039102
13,"1301927039",20.57,"3",1301927039102
14,"1301927039",36.0,"3",1301927039102
14,"1301927039",36.0,"4",1301927039103
15,"1301927039",27.0,"4",1301927039103
16,"1301927039",15.43,"4",1301927039103
16,"1301927039",15.43,"3",1301927039104
17,"1301927039",25.71,"3",1301927039104
18,"1301927039",20.57,"3",1301927039104
19,"1301927039",20.57,"3",1301927039104
20,"1301927039",33.43,"3",1301927039104
20,"1301927039",33.43,"4",1301927039105
21,"1301927039",16.71,"4",1301927039105
22,"1301927039",11.57,"4",1301927039105
22,"1301927039",11.57,"3",1301927039106
23,"1301927039",14.14,"3",1301927039106
24,"1301927039",17.14,"3",1301927039106
25,"1301927039",16.29,"3",1301927039106
26,"1301927039",3.86,"3",1301927039106
26,"1301927039",3.86,"2",1301927039107
27,"1301927039",6.43,"2",1301927039107
27,"1301927039",6.43,"3",1301927039108
28,"1301927039",7.71,"3",1301927039108
29,"1301927039",6.0,"3",1301927039108
29,"1301927039",6.0,"2",1301927039109
30,"1301927039",4.71,"2",1301927039109
31,"1301927039",13.71,"2",1301927039109
31,"1301927039",13.71,"1b",1301927039110
32,"1301927039",24.0,"1b",1301927039110
33,"1301927039",56.57,"1b",1301927039110
33,"1301927039",56.57,"2",1301927039111
34,"1301927039",57.86,"2",1301927039111
34,"1301927039",57.86,"3",1301927039112
35,"1301927039",92.57,"3",1301927039112
35,"1301927039",92.57,"4",1301927039113
36,"1301927039",65.57,"4",1301927039113
37,"1301927039",42.43,"4",1301927039113
38,"1301927039",50.14,"4",1301927039113
39,"1301927039",45.0,"4",1301927039113
40,"1301927039",38.57,"4",1301927039113
41,"1301927039",32.14,"4",1301927039113
42,"1301927039",30.86,"4",1301927039113
43,"1301927039",21.86,"4",1301927039113
44,"1301927039",43.71,"4",1301927039113
45,"1301927039",42.43,"4",1301927039113
46,"1301927039",34.71,"4",1301927039113
47,"1301927039",41.14,"4",1301927039113
48,"1301927039",33.43,"4",1301927039113
49,"1301927039",50.14,"4",1301927039113
50,"1301927039",34.71,"4",1301927039113
51,"1301927039",30.86,"4",1301927039113
52,"1301927039",32.14,"4",1301927039113
53,"1301927039",21.86,"4",1301927039113
54,"1301927039",27.0,"4",1301927039113
55,"1301927039",18.0,"4",1301927039113
55,"1301927039",18.0,"3",1301927039114
56,"1301927039",14.14,"3",1301927039114
57,"1301927039",42.43,"3",1301927039114
58,"1301927039",45.0,"3",1301927039114
58,"1301927039",45.0,"4",1301927039115
59,"1301927039",51.43,"4",1301927039115
60,"1301927039",34.71,"4",1301927039115
61,"1301927039",36.0,"4",1301927039115
62,"1301927039",30.86,"4",1301927039115
63,"1301927039",36.0,"4",1301927039115
64,"1301927039",20.57,"4",1301927039115
65,"1301927039",27.0,"4",1301927039115
66,"1301927039",18.0,"4",1301927039115
66,"1301927039",18.0,"3",1301927039116
67,"1301927039",32.14,"3",1301927039116
68,"1301927039",38.57,"3",1301927039116
68,"1301927039",38.57,"4",1301927039117
69,"1301927039",42.43,"4",1301927039117
70,"1301927039",33.43,"4",1301927039117
71,"1301927039",32.14,"4",1301927039117
72,"1301927039",24.43,"4",1301927039117
73,"1301927039",32.14,"4",1301927039117
74,"1301927039",30.86,"4",1301927039117
75,"1301927039",29.57,"4",1301927039117
76,"1301927039",39.86,"4",1301927039117
77,"1301927039",20.57,"4",1301927039117
77,"1301927039",20.57,"3",1301927039118
78,"1301927039",32.14,"3",1301927039118
79,"1301927039",47.57,"3",1301927039118
79,"1301927039",47.57,"4",1301927039119
80,"1301927039",34.71,"4",1301927039119
81,"1301927039",20.57,"4",1301927039119
81,"1301927039",20.57,"1",1302015405120
0,"1302015405",0.0,"1",1302015405120
1,"1302015405",0.0,"1",1302015405120
2,"1302015405",1.57,"1",1302015405120
2,"1302015405",1.57,"2",1302015405121
3,"1302015405",1.86,"2",1302015405121
4,"1302015405",1.86,"2",1302015405121
5,"1302015405",2.43,"2",1302015405121
6,"1302015405",2.57,"2",1302015405121
7,"1302015405",6.0,"2",1302015405121
7,"1302015405",6.0,"3",1302015405122
8,"1302015405",4.57,"3",1302015405122
9,"1302015405",4.0,"3",1302015405122
9,"1302015405",4.0,"2",1302015405123
10,"1302015405",3.57,"2",1302015405123
11,"1302015405",5.43,"2",1302015405123
12,"1302015405",8.14,"2",1302015405123
13,"1302015405",16.86,"2",1302015405123
13,"1302015405",16.86,"3",1302015405124
14,"1302015405",18.0,"3",1302015405124
15,"1302015405",27.43,"3",1302015405124
15,"1302015405",27.43,"4",1302015405125
16,"1302015405",41.14,"4",1302015405125
17,"1302015405",19.29,"4",1302015405125
17,"1302015405",19.29,"3",1302015405126
18,"1302015405",18.0,"3",1302015405126
19,"1302015405",18.0,"3",1302015405126
20,"1302015405",36.0,"3",1302015405126
21,"1302015405",37.29,"3",1302015405126
21,"1302015405",37.29,"4",1302015405127
22,"1302015405",25.71,"4",1302015405127
23,"1302015405",16.71,"4",1302015405127
23,"1302015405",16.71,"3",1302015405128
24,"1302015405",10.29,"3",1302015405128
25,"1302015405",13.29,"3",1302015405128
26,"1302015405",8.14,"3",1302015405128
27,"1302015405",2.57,"3",1302015405128
27,"1302015405",2.57,"2",1302015405129
28,"1302015405",3.29,"2",1302015405129
29,"1302015405",3.14,"2",1302015405129
29,"1302015405",3.14,"1b",1302015405130
30,"1302015405",5.29,"1b",1302015405130
31,"1302015405",19.0,"1b",1302015405130
31,"1302015405",19.0,"1",1302015405131
32,"1302015405",53.14,"1",1302015405131
32,"1302015405",53.14,"1b",1302015405132
33,"1302015405",74.57,"1b",1302015405132
33,"1302015405",74.57,"3",1302015405133
34,"1302015405",81.0,"3",1302015405133
34,"1302015405",81.0,"4",1302015405134
35,"1302015405",38.57,"4",1302015405134
36,"1302015405",46.29,"4",1302015405134
37,"1302015405",30.86,"4",1302015405134
38,"1302015405",29.57,"4",1302015405134
39,"1302015405",16.71,"4",1302015405134
39,"1302015405",16.71,"3",1302015405135
40,"1302015405",23.14,"3",1302015405135
41,"1302015405",19.29,"3",1302015405135
41,"1302015405",19.29,"2",1302015405136
42,"1302015405",19.29,"2",1302015405136
43,"1302015405",32.14,"2",1302015405136
44,"1302015405",32.14,"2",1302015405136
44,"1302015405",32.14,"3",1302015405137
45,"1302015405",42.43,"3",1302015405137
46,"1302015405",39.86,"3",1302015405137
47,"1302015405",47.57,"3",1302015405137
47,"1302015405",47.57,"4",1302015405138
48,"1302015405",33.43,"4",1302015405138
49,"1302015405",32.14,"4",1302015405138
50,"1302015405",16.71,"4",1302015405138
51,"1302015405",36.0,"4",1302015405138
51,"1302015405",36.0,"3",1302015405139
52,"1302015405",39.86,"3",1302015405139
53,"1302015405",42.43,"3",1302015405139
53,"1302015405",42.43,"4",1302015405140
54,"1302015405",41.14,"4",1302015405140
55,"1302015405",38.57,"4",1302015405140
56,"1302015405",38.57,"4",1302015405140
57,"1302015405",18.0,"4",1302015405140
58,"1302015405",24.43,"4",1302015405140
59,"1302015405",10.29,"4",1302015405140
59,"1302015405",10.29,"3",1302015405141
60,"1302015405",10.29,"3",1302015405141
61,"1302015405",16.71,"3",1302015405141
61,"1302015405",16.71,"2",1302015405142
62,"1302015405",11.57,"2",1302015405142
63,"1302015405",27.0,"2",1302015405142
63,"1302015405",27.0,"1b",1302015405143
64,"1302015405",37.29,"1b",1302015405143
64,"1302015405",37.29,"2",1302015405144
65,"1302015405",59.14,"2",1302015405144
65,"1302015405",59.14,"3",1302015405145
66,"1302015405",42.43,"3",1302015405145
67,"1302015405",48.86,"3",1302015405145
67,"1302015405",48.86,"4",1302015405146
68,"1302015405",30.86,"4",1302015405146
69,"1302015405",21.86,"4",1302015405146
70,"1302015405",33.43,"4",1302015405146
71,"1302015405",32.14,"4",1302015405146
72,"1302015405",21.86,"4",1302015405146
73,"1302015405",14.14,"4",1302015405146
73,"1302015405",14.14,"3",1302015405147
74,"1302015405",27.0,"3",1302015405147
75,"1302015405",37.29,"3",1302015405147
76,"1302015405",27.0,"3",1302015405147
76,"1302015405",27.0,"4",1302015405148
77,"1302015405",45.0,"4",1302015405148
78,"1302015405",38.57,"4",1302015405148
79,"1302015405",32.14,"4",1302015405148
80,"1302015405",24.43,"4",1302015405148
81,"1302015405",16.71,"4",1302015405148
81,"1302015405",16.71,"1",1302793756149
0,"1302793756",0.0,"1",1302793756149
1,"1302793756",0.0,"1",1302793756149
2,"1302793756",0.0,"1",1302793756149
3,"1302793756",0.14,"1",1302793756149
4,"1302793756",0.86,"1",1302793756149
4,"1302793756",0.86,"2",1302793756150
5,"1302793756",0.71,"2",1302793756150
6,"1302793756",0.43,"2",1302793756150
6,"1302793756",0.43,"1b",1302793756151
7,"1302793756",1.29,"1b",1302793756151
7,"1302793756",1.29,"2",1302793756152
8,"1302793756",2.14,"2",1302793756152
9,"1302793756",1.43,"2",1302793756152
9,"1302793756",1.43,"1b",1302793756153
10,"1302793756",4.0,"1b",1302793756153
10,"1302793756",4.0,"2",1302793756154
11,"1302793756",7.71,"2",1302793756154
11,"1302793756",7.71,"3",1302793756155
12,"1302793756",10.57,"3",1302793756155
13,"1302793756",22.29,"3",1302793756155
14,"1302793756",19.71,"3",1302793756155
15,"1302793756",53.14,"3",1302793756155
15,"1302793756",53.14,"4",1302793756156
16,"1302793756",18.0,"4",1302793756156
17,"1302793756",20.57,"4",1302793756156
17,"1302793756",20.57,"3",1302793756157
18,"1302793756",21.86,"3",1302793756157
19,"1302793756",20.57,"3",1302793756157
20,"1302793756",12.86,"3",1302793756157
21,"1302793756",11.57,"3",1302793756157
22,"1302793756",11.14,"3",1302793756157
23,"1302793756",9.0,"3",1302793756157
24,"1302793756",5.57,"3",1302793756157
24,"1302793756",5.57,"2",1302793756158
25,"1302793756",5.14,"2",1302793756158
25,"1302793756",5.14,"3",1302793756159
26,"1302793756",4.57,"3",1302793756159
27,"1302793756",4.57,"3",1302793756159
27,"1302793756",4.57,"2",1302793756160
28,"1302793756",2.43,"2",1302793756160
29,"1302793756",1.0,"2",1302793756160
29,"1302793756",1.0,"1b",1302793756161
30,"1302793756",2.71,"1b",1302793756161
31,"1302793756",8.43,"1b",1302793756161
31,"1302793756",8.43,"1",1302793756162
32,"1302793756",23.14,"1",1302793756162
33,"1302793756",67.71,"1",1302793756162
33,"1302793756",67.71,"1b",1302793756163
34,"1302793756",154.29,"1b",1302793756163
34,"1302793756",154.29,"3",1302793756164
35,"1302793756",142.71,"3",1302793756164
35,"1302793756",142.71,"4",1302793756165
36,"1302793756",115.71,"4",1302793756165
37,"1302793756",111.86,"4",1302793756165
38,"1302793756",88.71,"4",1302793756165
39,"1302793756",96.43,"4",1302793756165
40,"1302793756",65.57,"4",1302793756165
41,"1302793756",46.29,"4",1302793756165
42,"1302793756",34.71,"4",1302793756165
43,"1302793756",34.71,"4",1302793756165
44,"1302793756",28.29,"4",1302793756165
45,"1302793756",32.14,"4",1302793756165
46,"1302793756",23.14,"4",1302793756165
47,"1302793756",29.57,"4",1302793756165
48,"1302793756",19.29,"4",1302793756165
49,"1302793756",18.0,"4",1302793756165
49,"1302793756",18.0,"3",1302793756166
50,"1302793756",46.29,"3",1302793756166
50,"1302793756",46.29,"4",1302793756167
51,"1302793756",65.57,"4",1302793756167
52,"1302793756",118.29,"4",1302793756167
53,"1302793756",84.86,"4",1302793756167
54,"1302793756",57.86,"4",1302793756167
55,"1302793756",57.86,"4",1302793756167
56,"1302793756",34.71,"4",1302793756167
57,"1302793756",24.43,"4",1302793756167
58,"1302793756",33.43,"4",1302793756167
59,"1302793756",24.43,"4",1302793756167
60,"1302793756",19.29,"4",1302793756167
61,"1302793756",3.86,"4",1302793756167
61,"1302793756",3.86,"3",1302793756168
62,"1302793756",11.57,"3",1302793756168
63,"1302793756",12.0,"3",1302793756168
63,"1302793756",12.0,"2",1302793756169
64,"1302793756",16.71,"2",1302793756169
65,"1302793756",19.71,"2",1302793756169
65,"1302793756",19.71,"1b",1302793756170
66,"1302793756",59.14,"1b",1302793756170
66,"1302793756",59.14,"2",1302793756171
67,"1302793756",54.0,"2",1302793756171
67,"1302793756",54.0,"3",1302793756172
68,"1302793756",60.43,"3",1302793756172
68,"1302793756",60.43,"4",1302793756173
69,"1302793756",73.29,"4",1302793756173
70,"1302793756",30.86,"4",1302793756173
71,"1302793756",30.86,"4",1302793756173
72,"1302793756",37.29,"4",1302793756173
73,"1302793756",15.43,"4",1302793756173
74,"1302793756",18.0,"4",1302793756173
74,"1302793756",18.0,"3",1302793756174
75,"1302793756",24.43,"3",1302793756174
76,"1302793756",27.0,"3",1302793756174
77,"1302793756",41.14,"3",1302793756174
77,"1302793756",41.14,"4",1302793756175
78,"1302793756",21.86,"4",1302793756175
79,"1302793756",23.14,"4",1302793756175
79,"1302793756",23.14,"3",1302793756176
80,"1302793756",24.43,"3",1302793756176
81,"1302793756",43.71,"1",130288509177
81,"1302793756",43.71,"3",1302793756176
0,"130288509",0.0,"1",130288509177
1,"130288509",0.0,"1",130288509177
2,"130288509",0.0,"1",130288509177
3,"130288509",0.14,"1",130288509177
4,"130288509",2.29,"1",130288509177
4,"130288509",2.29,"1b",130288509178
5,"130288509",24.57,"1b",130288509178
5,"130288509",24.57,"3",130288509179
6,"130288509",54.43,"3",130288509179
6,"130288509",54.43,"4",130288509180
7,"130288509",74.57,"4",130288509180
8,"130288509",194.14,"4",130288509180
9,"130288509",108.0,"4",130288509180
10,"130288509",69.43,"4",130288509180
11,"130288509",69.43,"4",130288509180
12,"130288509",65.57,"4",130288509180
13,"130288509",81.0,"4",130288509180
